Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseGenConBig,Magic Number,The method contains a magic number: 0.0000001,54
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseParallel,Magic Number,The method contains a magic number: 92,71
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseParallel,Magic Number,The method contains a magic number: 226.002,71
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseParallel,Magic Number,The method contains a magic number: 0.000001,71
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseParallel,Magic Number,The method contains a magic number: 1048576,71
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseParallel,Magic Number,The method contains a magic number: 133204,71
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseParallel,Magic Number,The method contains a magic number: 1048576,71
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseParallel,Magic Number,The method contains a magic number: 0.544511,71
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseParallel,Magic Number,The method contains a magic number: 0.0000001,71
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParsePrioPauseTime,Magic Number,The method contains a magic number: 1867,88
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParsePrioPauseTime,Magic Number,The method contains a magic number: 12.622,88
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParsePrioPauseTime,Magic Number,The method contains a magic number: 0.000001,88
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParsePrioPauseTime,Magic Number,The method contains a magic number: 320728,88
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParsePrioPauseTime,Magic Number,The method contains a magic number: 130908,88
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParsePrioPauseTime,Magic Number,The method contains a magic number: 358400,88
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParsePrioPauseTime,Magic Number,The method contains a magic number: 0.025921,88
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParsePrioPauseTime,Magic Number,The method contains a magic number: 0.0000001,88
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportGencon,Magic Number,The method contains a magic number: 63,105
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportGencon,Magic Number,The method contains a magic number: 13.594,105
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportGencon,Magic Number,The method contains a magic number: 0.000001,105
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportGencon,Magic Number,The method contains a magic number: 13824,105
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportGencon,Magic Number,The method contains a magic number: 4553,105
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportGencon,Magic Number,The method contains a magic number: 32768,105
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportGencon,Magic Number,The method contains a magic number: 0.028308,105
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportGencon,Magic Number,The method contains a magic number: 0.0000001,105
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportParallel,Magic Number,The method contains a magic number: 31,121
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportParallel,Magic Number,The method contains a magic number: 20.547,121
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportParallel,Magic Number,The method contains a magic number: 0.000001,121
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportParallel,Magic Number,The method contains a magic number: 32768,121
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportParallel,Magic Number,The method contains a magic number: 5552,121
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportParallel,Magic Number,The method contains a magic number: 32768,121
